age,name,location,organization,position,org_key,org_class
54,丁强,深圳市,原市规划与国土资源局规划处,副处长,原规划与国土资源规划,国有资产监督管理
54,丁强,深圳市,原市规划局规划处,副处长;总师室调研员,原规划规划,国有资产监督管理
54,丁强,深圳市,市规划国土委地区规划处,处长,规划国土委地规划,国有资产监督管理
54,丁强,深圳市,科技信息处,处长,科技信息,科学技术
54,丁强,深圳市,龙华管理局,局长,管理,机关
54,丁强,深圳市,深汕特别合作区管委会,副主任,深汕特别合作管委会,Else
54,丁强,深圳市,总体规划处（市城市规划委员会秘书处）,Blank,总体规划（城规划秘书）,国有资产监督管理
54,丁强,深圳市,地区规划处（地名处）,Blank,地规划（地名）,国有资产监督管理
54,丁强,深圳市,城市和建筑设计处（市雕塑办公室）,Blank,城和建筑设计（雕塑）,住房
54,丁强,深圳市,盐田管理局,Blank,管理,机关
54,丁强,深圳市,深汕合作区管理局,Blank,深汕合作管理,机关
54,丁强,深圳市,市规划国土发展研究中心,Blank,规划国土发展研究中心,发展和改革委员会
54,丁强,深圳市,市公共艺术中心（深圳雕塑院、市城市设计促进中心）,Blank,公共艺术中心（雕塑院、城设计促进中心）,国有资产监督管理
54,丁强,深圳市,市当代艺术馆与城市规划展览馆,Blank,当代艺术馆与城规划展览馆,国有资产监督管理
55,于宝明,深圳市,市交通运输委员会（市港务管理局）,党组书记;主任（局长）,交通运输（港务管理）,交通运输
55,于宝明,深圳市,市交通运输局（市港务管理局）,党组书记;局长,交通运输（港务管理）,交通运输
55,于宝明,深圳市,市建筑工务署,党组书记;署长,建筑工务署,住房
55,于宝明,深圳市,市运输局建设处,处长,运输建设,住房
55,于宝明,深圳市,市交通局规划建设处,调研员;处长,交通规划建设,住房
55,于宝明,深圳市,市交通局,总工程师;副局长,交通,交通运输
55,于宝明,深圳市,市交通运输委,党组成员;副主任,交通运输委,交通运输
57,任继光,深圳市,深圳市司法局,党委委员;副局长,司法,司法
57,任继光,深圳市,律师公证管理处,Blank,律师公证管理,司法
57,任继光,深圳市,社区矫正和安置帮教工作处,Blank,社矫正和安置帮教工作,Else
57,任继光,深圳市,市监狱戒毒管理办公室,Blank,监狱戒毒管理,司法
57,任继光,深圳市,深圳监狱,Blank,监狱,司法
57,任继光,深圳市,市司法局第一强制隔离戒毒所,Blank,司法第一强制隔离戒毒所,司法
57,任继光,深圳市,市司法局第二强制隔离戒毒所,Blank,司法第二强制隔离戒毒所,司法
57,任继光,深圳市,宝安区司法局,Blank,司法,司法
57,任继光,深圳市,光明区综合办,Blank,光明综合办,Else
57,任继光,深圳市,市律师协会,Blank,律师协会,司法
57,任继光,深圳市,市公证协会,Blank,公证协会,司法
57,任继光,深圳市,深圳市司法局,党委委员;副局长,司法,司法
57,任继光,深圳市,深圳市公安局,党委委员;副局长,公安,公安
56,余璟,深圳市,发展和改革委员会,党组成员;副主任,发展和改革,发展和改革委员会
56,余璟,深圳市,能源集团东部电厂,总经理,能源集团东部电厂,能源
56,余璟,深圳市,东部电厂二期厂,办主任,东部电厂二期厂,Else
54,关苏,深圳市,教育局党组,二级巡视员,教育党组,教育
54,关苏,深圳市,教育局党组,巡视员,教育党组,教育
54,关苏,湖北省,军区办公室,主任,军,部队
54,关苏,湖北省,咸宁军分区政治,委员,咸宁军分政治,部队
54,关苏,深圳市,驻香港部队基地,副政治委员,驻香港部队基地,部队
54,凌冲,深圳市,深圳市委员会,副部长;部长,,党
54,凌冲,深圳市,深圳市团校,副校长(正处级),团校,Else
54,凌冲,深圳市,深圳市委教育基地,主任,委教育基地,教育
54,凌冲,深圳市,深圳市老龄工作委员会办公室,主任,老龄工作,党
54,凌冲,深圳市,市民政局救灾救济和低保处,处长,民政救灾救济和低保,民政
54,凌冲,深圳市,市民政局救灾救助和慈善处,处长,民政救灾救助和慈善,民政
54,凌冲,深圳市,市民间组织管理局,局长,民间组织管理,机关
54,凌冲,深圳市,社会组织管理局,Blank,社会组织管理,机关
54,凌冲,深圳市,社会组织,Blank,社会组织,Else
59,刘世会,深圳市,市规划与国土资源局机关服务中心,中心主任,规划与国土资源机关服务中心,国有资产监督管理
59,刘世会,深圳市,市国土资源和房产管理局,办公室主任,国土资源和房产管理,住房
59,刘世会,深圳市,地政和监察分局,局长,地政和监察分,司法
59,刘世会,深圳市,直属分局,局长,直属分,Else
59,刘世会,深圳市,市规划和国土资源委员会行政监察处,处长,规划和国土资源行政监察,司法
59,刘世会,深圳市,秘书处,处长,秘书,Else
59,刘世会,深圳市,办公室（信访办）,Blank,（信访办）,信访
59,刘世会,深圳市,机关党委（人事处）,Blank,机关党委（人事）,人力资源
59,刘世会,深圳市,龙岗管理局,Blank,管理,机关
59,刘世会,深圳市,坪山管理局,Blank,管理,机关
59,刘世会,深圳市,山水宾馆,Blank,山水宾馆,Else
49,刘伟,深圳市,发展和改革委员会,副主任,发展和改革,发展和改革委员会
49,刘伟,深圳市,龙岗区委,常委,委,党
49,刘伟,深圳市,区政府,党组成员,政府,机关
49,刘伟,深圳市,龙岗区委,常委;副区长,委,党
49,刘伟,深圳市,区政府,党组成员,政府,机关
49,刘伟,深圳市,龙岗区政府副区长,党组成员,政府副长,机关
49,刘伟,深圳市,发展和改革委员会综合处,处长,发展和改革综合,发展和改革委员会
49,刘伟,深圳市,人民政府办公厅第一秘书处,处长,人民政府办公厅第一秘书,民政
49,刘伟,深圳市,人民政府办公厅财经处,副处长,人民政府办公厅财经,民政
49,刘伟,深圳市,人民政府办公厅综合处,副处长,人民政府办公厅综合,民政
49,刘伟,深圳市,人民政府办公厅综合处,主任科员,人民政府办公厅综合,民政
49,刘伟,上海市,复旦大学,政治经济学博士研究生,复旦大学,高等院校
49,刘伟,上海市,复旦大学,经济学系硕士研究生,复旦大学,高等院校
49,刘伟,浙江省,华东石化销售公司高桥石油站,科员,华东石化销售公司高桥石油站,Else
49,刘伟,浙江省,浙江大学应用电子技术专业,学生,浙江大学应用电子技术专业,科学技术
57,刘初汉,深圳市,深圳市生态环境局,党组书记;局长,生态环境,生态环境
57,刘初汉,深圳市,深圳市生态环境局,Blank,生态环境,生态环境
57,刘初汉,深圳市,深圳市人居环境委员会,主任,人居环境,生态环境
57,刘初汉,北京市,北京大学高级管理人员工商管理,硕士,北京大学高级管理人员工商管理,高等院校
57,刘初汉,深圳市,深圳市城管局（市城管执法局）,副局长;党委委员,城管（城管执法）,Else
57,刘初汉,深圳市,深圳市府城管办（市城管执法局）,副主任（副局长）;党委委员,府城管办（城管执法）,Else
57,刘初汉,深圳市,深圳市环境监理所,所长,环境监理所,生态环境
57,刘初汉,深圳市,深圳市环保局监督管理处,处长,环保监督管理,生态环境
57,刘初汉,深圳市,深圳市环保局监督管理处,副处长（主持该处工作）,环保监督管理,生态环境
57,刘初汉,深圳市,深圳市环保局政策法规处,副处长（主持该处工作）,环保政策法规,司法
57,刘初汉,深圳市,深圳市环保局政策法规处主任,科员（该处负责人）,环保政策法规主任,司法
57,刘初汉,深圳市,深圳市环保局办公室,副主任科员（文秘）,环保,生态环境
57,刘初汉,深圳市,深圳市环保局办公室,科员（文秘）,环保,生态环境
57,刘初汉,武汉省,武汉大学法学专业,学生,武汉大学法学专业,高等院校
50,卢旭阳,深圳市,深圳市生态环境局,党组成员;副局长,生态环境,生态环境
50,卢旭阳,深圳市,大气环境处,Blank,大气环境,生态环境
50,卢旭阳,深圳市,生态环境监测与科技处,Blank,生态环境监测与科技,科学技术
50,卢旭阳,深圳市,安全生产和环境应急工作,Blank,安全生产和环境应急工作,生态环境
50,卢旭阳,深圳市,市环境监测中心站,Blank,环境监测中心站,生态环境
50,卢旭阳,深圳市,市生态环境监测院,Blank,生态环境监测院,生态环境
50,卢旭阳,深圳市,市环境科学研究院,Blank,环境科学研究院,科学技术
50,卢旭阳,深圳市,市生态环境局南山分局,Blank,生态环境分,生态环境
50,卢旭阳,深圳市,市生态环境局龙华分局,Blank,生态环境分,生态环境
50,卢旭阳,深圳市,深圳市人居环境委员会大气环境管理处,处长,人居环境大气环境管理,生态环境
50,卢旭阳,深圳市,深圳市人居环境委员会,副主任,人居环境,生态环境
