中央机构,地市级政府,区县级政府,乡镇级政府,村委会,居委会,街道办,公安机关,公证处,法院,司法局,检察院,消防局,工商局,税务局,财政局,民政局,交管局,电信局,测绘院/勘测院/规划院,海关,"委,办,局",档案馆,产权交易中心,涉外机构,驻地机构,党派团体,福利机构
深圳市民中心,福海市场消防管理处,宝安区环保水务工程建设管理中心,白石洲东社区出租屋管理服务中心,,白石洲社区居民委员会,宝安区龙华街道办事处,爱联派出所,避风堂全国足疗师职业资格指定考评机构,布吉人民法庭立案调解室,广东安证计算机司法鉴定所,宝安区人民检察院控告申诉举报接待室,宝华白马消防控制中心,白沙岭工商所,坂田税务局,深圳市财政局,深圳市财政局,保安交通车管业务便民点,赤尾电信所,策马设计工作室,宝安公安分局出入境接待大厅,坳下社区劳动保障窗口,罗湖区人才交流服务中心档案室,安达地产,澳洲埃迪斯科文大学中国代表处,宝安区沙井镇经发办驻海关联络处,爱联社区老年人协会,鳌湖新村老人活动中心
市民中心,福海市场消防管理处,宝安区人大常委会,布吉计生中心,,碧波社区居民委员会,福田区福田街道办事处,爱联派出所,布吉街道办事处水产品检测中心,宝安区人民法院法官综治信访维稳工作站,广东天华司法会计鉴定所,宝安区人民检察院综治信访维稳工作联络室(沿河南路),宝安公安分局消防大队六中队,坂田工商所,布吉国税分局,深圳市财政局,深圳市财政局,宝安区交管局大队,广东省电信有限公司深圳分公司沙井支局,广东省重工建筑设计院深圳勘测队,宝安区龙华镇经发办驻海关办事处,坳下社区安全文明小区办公室,深圳市南山区档案馆,滨海之窗写字楼管理处,澳大利亚中联广东办事处,白银市人民政府驻深圳办事处,安乐社区第二居民小组,安心宝居家养老服务中心
深圳市福田区质监局,国家城市供水水质监测网深圳监测站,宝安区人民政府,布吉镇经济发展有限公司管理处,,布吉街道岗头社区居民委员会,龙岗区南湾街道办事处,白芒派出所,宝安公证处沙井办证点,宝安区人民法院沙井人民法庭,广东广朋司法会计鉴定所,宝安区人民检察院综治信访维稳工作联络室(金辉路),大洋消防分队,坂田工商所,布吉国税分局办税服务厅,深圳市财政局,深圳市财政局,宝安交警大队固戍扣车场,深圳专用电信局,湖南省第二测绘院深圳分院,宝安公安分局出入境接待大厅,安乐社区统侨联络处,深圳市总商会档案室,百特豪世房地产咨询有限公司深圳分公司,澳门中旅汽车客运运股份有限公司,白银市人民政府驻深圳办事处,爱联社区新西居民小组工会联合会,布心社区星光老年之家
深圳市福田区质监局,国家城市排水监测网深圳监测站,宝安区政府,布吉计生中心,,布吉街道丽湖社区居民委员会,龙岗区坂田街道办事处,滨苑社区警务室,宝安区工程质量检测中心,布吉人民法庭立案调解室,广东深光法医物证司法鉴定所,宝安区人民检察院综治信访维稳工作联络室(光翠路),福田环庆消防应急分队,布吉工商所,宝安区地方税务局公明税务所办税服务厅,深圳市财政局,深圳市财政局,宝安区福永扣车场,,江苏省地质工程勘察院深圳分院,福龙检查站,坂田街道雪象社区工作站,深圳市人事局人才交流服务中心档案馆,百年置业龙华分行,波兰ZIBI服务贸易企业有限公司深圳代表处,成都市人民政府驻深圳办事处,安乐小学少先队安乐村大队宝安区少先队工作委员会,布吉一村老人活动中心
市民中心,广东省深圳长途电信线路分局,宝安区公交场站建设领导小组办公室,布吉街道办事处,,布吉街道长龙社区居民委员会,罗湖区桂园街道办事处,北站社区警务室,宝安区无公害农产品监督检验站,宝安区人民法院法官综治信访维稳工作站,罗湖区翠竹司法所,宝安区人民检察院综治信访维稳工作联络室(光翠路),富莲大厦消防控制中心,布吉工商所,宝安区地方税务局松岗税务所办税服务厅,深圳市财政局,深圳市财政局,保安交通车管业务便民点,,深圳市长勘勘察设计有限公司,海关报关大楼,坂田街道出租屋综合管理所宝岗管理站,深圳市档案馆,宝安科技创业服务中心,比利时南航集装箱班轮公司深圳代表处,成都市人民政府驻深圳办事处,安乐社区第二居民小组,布吉街道义务工作者联合会茂业社区义工站
中国边检(海港大厦东北),国家统计局深圳调查队筹备组,宝安区城市管理办公室排水管理处1号雨水泵站,宝安区人大常委会公明街道工作委员会,,宝安区新安街道新安湖社区老龄工作委员会,罗湖区翠竹街道办事处,布心居民委员会水围社会治安综合治理办公室,宝安区工程质量监督检验站松岗分站,宝安区人民法院沙井人民法庭,罗湖区南湖街道司法所,宝安区人民检察院控告申诉举报接待室,福田区华强北街道华航社区火灾隐患整治工作办公室,布吉工商所,宝安区地方税务局公明税务所,,,宝安交警大队固戍扣车场,,深圳水务有限公司水表计量检定中心,海关关闸,坂田街道岗头社区工作站,深圳市共和国老将军书画档案专馆,创辉租售第1003分行,德国FOQ压电技术有限公司深圳代表处,大同人民政府驻深圳办事处,爱联社区新西居民小组工会联合会,宝安区社会福利中心
中国海关,广东省公路管理局深圳路政队,宝安区法律援助处松岗工作站,宝安区城市管理行政执法局新安街道执法队,,碧波社区居民委员会,南山区西丽街道办事处,八卦岭派出所上林警区治安联防大队,福星街市果蔬农药残留检测室,观澜人民法庭,南山区人民检察院司法警察大队,宝安区人民检察院综治信访维稳工作联络室(沿河南路),福田区华强北街道华航社区消防安全委员会,宝安工商行政管理分局新桥工商行政管理所,宝安区地方税务局大浪税务所办税服务厅,,,宝安区福永扣车场,,深圳市华韵测绘有限公司,海关转关场,布吉街道凤凰社区工作站,深圳市共和国老将军书画档案专馆,创丰地产红岗分行,德国菲尼克斯电气集团中国公司深圳办事处,达州市人民政府驻深圳办事处,宝安区企业咨询服务行业协会,宝安区新安街道建安社区社会捐助接收工作点
中国检验检疫,广东省深圳长途电信线路分局,宝安区人民政府教育督导室,宝安区城市管理行政执法局石岩街道执法队,,布心山庄中区管理处,盐田区沙头角街道办事处,坂田派出所居住证办证点,广东省金银珠宝检测中心深圳办事处,横岗法庭,深圳市南山区人民法院司法事务室,宝安区人民检察院综治信访维稳工作联络室(金辉路),福田区消防应急分队新洲分队,宝安工商行政管理分局民治工商行政管理所,宝安区地方税务局沙井税务所办税服务厅,,,宝安区交管局大队,,深圳市中正测绘科技有限公司,海关大院,布吉镇雪象村委计划生育办公室,深圳市档案馆(深圳市文档服务中心北),翠华园管理处,德国FOQ压电技术有限公司深圳代表处,达州市人民政府驻深圳办事处,宝安沙井工商联,宝安区福永街道福利院
中国边检,国家城市供水水质监测网深圳监测站,宝安区公路路政稽查所新桥分所,宝安区人大常委会观澜街道工作委员会,,坂田街道岗头社区中心居民小组,,坂田街道大发埔社区综治信访维稳工作中心,广东财安司法会计鉴定所,坑梓镇法庭,深圳市人民医院法医临床司法鉴定所,罗湖区人民检察院检察服务进社区工作点,福田区消防上沙应急分队,坂田工商所,宝安区地方税务局西乡税务所办税服务厅,,,宝安交警大队固戍扣车场,,深圳市标为测绘技术有限公司,罗湖公安分局出入境接待大厅,布吉镇岗头风门坳村办公室,深圳市档案馆,茶语,德国softgate-GmbH深圳代表处,单县人民政府深圳办事处,宝安湖北商会,宝安区利民复康中心
中国人民银行深圳市中心支行贷款卡业务办理点,国家统计局深圳调查队筹备组,宝安区关心下一代工作委员会,宝安区人大常委会松岗街道工作委员会,,翠竹社区居民委员会,,坂田派出所,广东省酒类检测中心深圳站,坑梓镇法庭,深圳市物证检验鉴定中心法医检验所,龙岗区人民检察院控告申诉检察科接待室,福永消防中队兴围分队,布吉工商所,宝安区地方税务局龙华税务所办税服务厅,,,福永街道办事处交通协管队,,深圳市国测测绘技术有限公司,深圳湾海关大厦,布吉街道出租屋综合管理所水径管理站,深圳市南山区档案馆,财富广场管理处,菲美娜花边国际有限公司深圳代表处,东源县人民政府对外引进办驻深联络处,碧波社区计生协会会员之家,宝安区社会福利中心
